Année,Région Code,Région,HPV filles 1 dose à 15 ans,HPV filles 2 doses à 16 ans,HPV garçons 1 dose à 15 ans,HPV garçons 2 doses à 16 ans,Méningocoque C 10-14 ans,Méningocoque C 15-19 ans,Méningocoque C 20-24 ans,Grippe moins de 65 ans à risque,Grippe 65 ans et plus,Grippe 65-74 ans,Grippe 75 ans et plus,Covid-19 65 ans et plus,Grippe résidents en Ehpad,Grippe professionnels en Ehpad,Covid-19 résidents en Ehpad,Covid-19 professionnels en Ehpad
2016,52,Pays de la Loire,26.5,23.6,,,35.5,26.7,,31.0,51.2,,,,,,,
2017,94,Corse,18.3,14.8,,,25.4,12.9,,15.9,33.6,,,,,,,
2017,44,Grand Est,32.6,26.1,,,39.4,29.9,,32.0,51.9,,,,,,,
2017,32,Hauts-de-France,34.7,28.4,,,50.6,40.7,,34.1,52.2,,,,,,,
2017,28,Normandie,34.8,28.4,,,42.3,34.0,,33.4,53.1,,,,,,,
2017,76,Occitanie,20.5,17.4,,,31.8,19.8,,26.9,49.2,,,,,,,
2017,52,Pays de la Loire,31.4,26.0,,,40.1,29.8,,31.7,51.3,,,,,,,
2017,2,Martinique,11.2,6.3,,,27.0,15.5,,13.4,20.5,,,,,,,
2017,4,Réunion,11.3,8.6,,,45.5,33.9,,,,,,,,,,
2018,53,Bretagne,36.3,30.3,,,56.1,43.4,,31.3,54.3,,,,,,,
2018,44,Grand Est,35.3,29.1,,,45.2,32.8,,32.4,52.9,,,,,,,
2018,75,Nouvelle Aquitaine,30.3,25.1,,,38.8,24.9,,30.6,52.3,,,,,,,
2018,4,Réunion,11.3,8.1,,,51.2,37.6,,,,,,,,,,
2019,27,Bourgogne et Franche-Comté,37.8,30.4,,,53.8,37.4,,33.4,52.4,,,,,,,
2019,94,Corse,24.2,16.2,,,41.0,17.8,,24.2,46.9,,,,,,,
2019,44,Grand Est,41.0,33.1,,,52.6,35.3,,33.7,53.5,,,,,,,
2019,32,Hauts-de-France,42.6,34.5,,,63.1,47.8,,35.1,53.2,,,,,,,
2019,93,Provence-Alpes-Côte d'Azur,27.8,20.9,,,43.5,21.5,,27.7,49.7,,,,,,,
2019,3,Guyane,23.9,14.6,,,41.0,22.9,,14.0,21.3,,,,,,,
2019,4,Réunion,12.2,8.5,,,57.6,41.5,,,,,,,,,,
2020,53,Bretagne,51.2,42.6,,,65.8,48.8,,41.1,65.5,,,,,,,
2020,24,Centre-Val de Loire,43.8,35.6,,,60.7,42.4,,41.5,62.8,,,,,,,
2020,44,Grand Est,46.3,37.4,,,57.3,37.9,,40.4,60.2,,,,,,,
2020,11,Île-de-France,33.6,26.3,,,60.1,39.7,,34.4,57.5,,,,,,,
2020,1,Guadeloupe,24.0,15.0,,,62.2,39.1,,17.2,27.5,,,,,,,
2020,4,Réunion,15.1,10.0,,,62.3,45.0,,,,,,,,,,
2021,53,Bretagne,57.7,48.6,,,70.7,51.7,,35.7,62.1,,,,,,,
2021,94,Corse,36.2,29.6,,,54.7,24.0,,28.9,49.5,,,,,,,
2021,1,Guadeloupe,25.1,17.0,,,67.9,43.4,,10.6,18.7,,,,,,,
2021,2,Martinique,16.9,11.2,,,54.5,29.9,,8.1,13.7,,,,,,,
2022,84,Auvergne et Rhône-Alpes,47.6,41.6,12.3,8.2,64.7,40.3,,32.3,55.5,49.3,61.9,,,,,
2022,44,Grand Est,52.2,44.8,14.8,9.3,68.2,43.2,,33.7,55.8,51,61.4,,,,,
2022,93,Provence-Alpes-Côte d'Azur,40.3,34.3,9.3,5.9,63.4,31.5,,27.1,51.9,44.9,58.8,,,,,
2022,1,Guadeloupe,26.5,19.3,3.1,1.3,72.6,47.9,,9.7,18.1,15,21.9,,,,,
2022,4,Réunion,19.1,14.1,3.1,1.2,70.1,52.2,,,,,,,,,,
2023,27,Bourgogne et Franche-Comté,57.3,47.9,25.0,15.2,72.1,49.9,,26.3,53.3,45.9,61,29.5,,,,
2023,24,Centre-Val de Loire,58.4,47.3,27.1,17.0,75.2,52.4,,28.2,57.0,50,64.2,34.8,,,,
2023,94,Corse,45.5,37.8,13.5,7.9,64.5,34.1,,18.0,46.0,36.8,55.6,13.5,,,,
2023,28,Normandie,66.3,54.0,34.8,20.9,76.7,51.3,,30.1,58.5,52.2,65.5,34.8,,,,
2023,3,Guyane,21.9,14.1,6.3,3.6,44.5,32.5,,4.8,11.2,12.9,18.8,2.4,,,,
2024,84,Auvergne et Rhône-Alpes,58.8,48.6,36.5,24.9,70.8,50.1,30.9,25.8,53.1,45.5,60.3,,,,,
2024,94,Corse,50.9,39.1,22.3,13.2,66.1,42.1,18.3,18.5,46.0,37.2,54.9,,,,,
2024,44,Grand Est,61.2,50.3,38.5,25.7,73.5,53.0,34.5,26.0,52.9,46.4,59.9,,,,,
2024,32,Hauts-de-France,64.6,53.4,39.9,25.9,81.8,63.8,45.0,29.2,56.0,51.3,61.4,,,,,
2024,3,Guyane,28.8,17.2,15.6,5.7,47.4,35.5,19.2,7.6,14.8,13.3,17.6,,,,,
2024,2,Martinique,25.1,16.9,11.3,4.8,68.7,44.7,24.6,5.0,11.5,9.3,14.1,,,,,
2011,27,Bourgogne et Franche-Comté,33.3,27.6,,,,,,,,,,,,,,
2011,53,Bretagne,33.4,31.1,,,,,,,,,,,,,,
2011,94,Corse,24.7,19.7,,,,,,,,,,,,,,
2011,75,Nouvelle Aquitaine,32.8,30.5,,,,,,,,,,,,,,
2011,76,Occitanie,26.7,24.9,,,,,,,,,,,,,,
2011,93,Provence-Alpes-Côte d'Azur,27.0,22.4,,,,,,,,,,,,,,
2012,27,Bourgogne et Franche-Comté,24.6,24.9,,,,,,,,,,,,,,
2012,32,Hauts-de-France,29.5,30.6,,,,,,,,,,,,,,
2012,28,Normandie,29.5,31.5,,,,,,,,,,,,,,
2012,76,Occitanie,19.1,21.0,,,,,,,,,,,,,,
2012,3,Guyane,,,,,,,,,,,,,,,,
2012,4,Réunion,,,,,,,,,,,,,,,,
2013,27,Bourgogne et Franche-Comté,22.7,19.6,,,,,,,,,,,,,,
2013,11,Île-de-France,15.3,13.2,,,,,,,,,,,,,,
2013,75,Nouvelle Aquitaine,21.3,19.1,,,,,,,,,,,,,,
2013,76,Occitanie,16.8,15.5,,,,,,,,,,,,,,
2013,4,Réunion,,,,,,,,,,,,,,,,
2014,27,Bourgogne et Franche-Comté,21.3,17.6,,,30.8,22.4,,,,,,,,,,
2014,24,Centre-Val de Loire,21.6,18.0,,,31.4,23.1,,,,,,,,,,
2014,32,Hauts-de-France,27.0,21.8,,,39.3,31.3,,,,,,,,,,
2014,11,Île-de-France,15.5,12.2,,,32.0,21.6,,,,,,,,,,
2014,28,Normandie,26.0,22.5,,,33.1,25.5,,,,,,,,,,
2014,75,Nouvelle Aquitaine,20.2,17.4,,,19.6,14.0,,,,,,,,,,
2014,93,Provence-Alpes-Côte d'Azur,16.0,12.6,,,17.1,10.2,,,,,,,,,,
2014,1,Guadeloupe,,,,,,,,,,,,,,,,
2014,3,Guyane,,,,,,,,,,,,,,,,
2014,4,Réunion,,,,,,,,,,,,,,,,
2015,11,Île-de-France,16.3,10.1,,,35.6,25.1,,,,,,,,,,
2015,75,Nouvelle Aquitaine,20.8,14.2,,,22.9,16.4,,,,,,,,,,
2015,93,Provence-Alpes-Côte d'Azur,16.1,9.8,,,19.9,12.1,,,,,,,,,,
2015,2,Martinique,,,,,,,,,,,,,,,,
2015,4,Réunion,,,,,,,,,,,,,,,,
2016,84,Auvergne et Rhône-Alpes,21.7,18.1,,,31.5,22.7,,28.8,48.3,,,,,,,
2016,11,Île-de-France,19.0,15.0,,,39.4,28.1,,23.9,47.8,,,,,,,
2016,75,Nouvelle Aquitaine,24.3,20.2,,,26.7,18.8,,29.1,51.3,,,,,,,
2016,76,Occitanie,18.5,15.6,,,26.7,16.6,,26.6,49.6,,,,,,,
2016,93,Provence-Alpes-Côte d'Azur,17.5,14.4,,,23.3,14.0,,25.4,47.9,,,,,,,
2016,1,Guadeloupe,18.3,10.8,,,36.0,22.1,,9.3,16.2,,,,,,,
2016,3,Guyane,18.5,12.5,,,16.6,11.8,,,,,,,,,,
2016,2,Martinique,10.4,7.9,,,21.8,13.1,,,,,,,,,,
2017,27,Bourgogne et Franche-Comté,27.7,23.3,,,40.9,31.5,,31.3,50.2,,,,,,,
2017,53,Bretagne,32.6,26.4,,,51.1,40.6,,31.8,52.4,,,,,,,
2017,1,Guadeloupe,17.7,12.1,,,41.9,26.8,,8.8,15.3,,,,,,,
2017,3,Guyane,22.9,12.1,,,20.0,14.1,,,,,,,,,,
2018,27,Bourgogne et Franche-Comté,31.3,25.3,,,47.0,34.6,,31.9,51.5,,,,,,,
2018,24,Centre-Val de Loire,32.3,26.2,,,49.2,35.9,,31.2,53.0,,,,,,,
2018,94,Corse,19.4,15.2,,,32.0,15.0,,23.5,46.3,,,,,,,
2018,52,Pays de la Loire,35.6,29.8,,,46.4,33.0,,31.0,53.2,,,,,,,
2018,93,Provence-Alpes-Côte d'Azur,21.8,17.2,,,34.8,19.0,,26.6,49.1,,,,,,,
2018,2,Martinique,10.9,8.2,,,33.4,18.8,,8.6,14.2,,,,,,,
2019,84,Auvergne et Rhône-Alpes,33.7,26.8,,,48.8,29.1,,30.2,51.2,,,,,,,
2019,53,Bretagne,44.0,36.2,,,62.0,46.1,,33.3,56.0,,,,,,,
2019,24,Centre-Val de Loire,38.3,30.8,,,56.3,39.1,,33.2,54.4,,,,,,,
2019,11,Île-de-France,28.7,22.5,,,56.5,36.7,,27.5,50.3,,,,,,,
2019,28,Normandie,44.8,35.8,,,55.4,47.9,,35.7,55.0,,,,,,,
2019,52,Pays de la Loire,43.1,35.3,,,53.6,36.6,,32.6,54.1,,,,,,,
2019,2,Martinique,11.6,7.6,,,30.4,19.3,,11.0,17.0,,,,,,,
2020,94,Corse,32.1,20.9,,,47.5,20.8,,34.6,55.0,,,,,,,
2020,32,Hauts-de-France,48.2,38.8,,,67.6,49.0,,43.4,61.6,,,,,,,
2020,75,Nouvelle Aquitaine,42.8,35.4,,,52.9,31.9,,40.4,61.8,,,,,,,
2020,3,Guyane,24.8,16.8,,,33.3,22.5,,14.0,21.9,,,,,,,
2021,32,Hauts-de-France,52.4,43.4,,,72.7,51.8,,40.0,59.8,,,,,,,
2021,28,Normandie,56.7,47.3,,,66.6,44.7,,39.6,61.3,,,,,,,
2021,76,Occitanie,43.0,35.5,,,57.5,32.1,,33.0,56.2,,,,,,,
2021,52,Pays de la Loire,56.4,48.1,,,64.1,43.4,,35.2,60.5,,,,,,,
2021,3,Guyane,27.0,16.6,,,37.2,25.7,,10.7,18.5,,,,,,,
2021,4,Réunion,17.6,12.2,,,66.6,48.2,,,,,,,,,,
2022,27,Bourgogne et Franche-Comté,51.0,44.2,11.9,7.9,68.4,45.9,,33.3,56.1,50.4,62.2,,,,,
2022,11,Île-de-France,39.9,33.6,11.4,7.7,69.2,45.7,,27.6,54.9,49,61.5,,,,,
2022,28,Normandie,58.7,51.2,16.9,11.2,72.1,47.5,,36.8,60.5,56.2,65.4,,,,,
2022,75,Nouvelle Aquitaine,51.6,46.0,13.2,9.1,65.0,38.2,,33.0,58.1,52.5,64,,,,,
2022,52,Pays de la Loire,59.7,52.8,17.7,12.6,68.7,46.9,,32.7,59.5,54.6,64.7,,,,,
2022,2,Martinique,17.6,12.1,2.3,1.2,60.2,34.0,,7.7,13.9,11.6,16.8,,,,,
2023,84,Auvergne et Rhône-Alpes,54.3,44.9,25.4,15.8,68.8,44.4,,25.8,53.3,45.4,61.4,30.6,,,,
2023,53,Bretagne,67.7,57.6,34.9,22.0,78.0,57.4,,27.8,59.5,52.4,67.3,37.4,,,,
2023,44,Grand Est,58.5,47.2,28.4,17.1,72.2,47.3,,26.5,53.5,46.7,61.5,28.6,,,,
2023,76,Occitanie,52.8,43.8,24.8,15.2,66.4,41.1,,24.0,53.0,44.6,61.6,27.9,,,,
2023,52,Pays de la Loire,66.9,57.3,36.0,23.2,72.5,51.0,,27.5,58.2,50.9,65.9,37.2,,,,
2023,1,Guadeloupe,31.5,20.3,6.8,2.9,75.9,53.0,,6.9,14.9,11.9,18.7,2.3,,,,
2023,2,Martinique,29.3,15.7,8.6,1.7,65.1,39.1,,7.5,14.9,8.7,14.3,2.2,,,,
2024,27,Bourgogne et Franche-Comté,61.6,50.6,36.6,24.3,74.0,54.9,36.8,25.5,52.3,45.2,59.2,,,,,
2024,24,Centre-Val de Loire,61.5,51.0,39.2,25.6,77.2,57.5,38.9,27.6,56.2,49.6,62.5,,,,,
2024,75,Nouvelle Aquitaine,64.3,53.7,40.3,27.3,71.8,49.1,29.3,26.4,55.6,48.6,62.5,,,,,
2024,93,Provence-Alpes-Côte d'Azur,50.0,40.4,28.3,17.6,70.2,44.2,21.7,21.3,49.8,41.3,57.5,,,,,
2024,1,Guadeloupe,34.4,22.6,13.2,5.4,77.7,58.5,36.1,7.2,15.1,12.5,18.2,,,,,
2024,4,Réunion,28.8,20.1,11.5,6.6,75.6,60.5,42.3,,,,,,,,,
2011,84,Auvergne et Rhône-Alpes,26.0,24.1,,,,,,,,,,,,,,
2011,1,Guadeloupe,,,,,,,,,,,,,,,,
2011,2,Martinique,,,,,,,,,,,,,,,,
2012,53,Bretagne,23.7,27.7,,,,,,,,,,,,,,
2012,94,Corse,17.7,15.4,,,,,,,,,,,,,,
2012,44,Grand Est,26.6,27.1,,,,,,,,,,,,,,
2012,11,Île-de-France,16.4,19.1,,,,,,,,,,,,,,
2012,52,Pays de la Loire,22.7,26.4,,,,,,,,,,,,,,
2012,1,Guadeloupe,,,,,,,,,,,,,,,,
2013,53,Bretagne,23.9,21.1,,,,,,,,,,,,,,
2013,28,Normandie,27.5,24.4,,,,,,,,,,,,,,
2013,52,Pays de la Loire,21.1,20.1,,,,,,,,,,,,,,
2013,1,Guadeloupe,,,,,,,,,,,,,,,,
2013,3,Guyane,,,,,,,,,,,,,,,,
2013,2,Martinique,,,,,,,,,,,,,,,,
2014,84,Auvergne et Rhône-Alpes,17.2,14.7,,,24.6,17.2,,,,,,,,,,
2014,53,Bretagne,23.4,20.5,,,39.0,29.5,,,,,,,,,,
2014,94,Corse,14.7,11.9,,,13.9,7.0,,,,,,,,,,
2014,76,Occitanie,15.8,13.5,,,19.9,12.3,,,,,,,,,,
2014,52,Pays de la Loire,20.8,18.6,,,28.8,20.9,,,,,,,,,,
2015,84,Auvergne et Rhône-Alpes,18.6,12.5,,,27.9,20.0,,,,,,,,,,
2015,27,Bourgogne et Franche-Comté,22.3,14.9,,,33.6,25.6,,,,,,,,,,
2015,53,Bretagne,24.2,16.6,,,42.7,33.8,,,,,,,,,,
2015,94,Corse,17.4,8.7,,,16.6,8.7,,,,,,,,,,
2015,44,Grand Est,26.2,17.5,,,32.2,24.4,,,,,,,,,,
2015,76,Occitanie,16.3,10.7,,,23.0,14.5,,,,,,,,,,
2015,1,Guadeloupe,,,,,,,,,,,,,,,,
2015,3,Guyane,,,,,,,,,,,,,,,,
2016,53,Bretagne,27.7,23.8,,,46.3,37.0,,31.3,52.4,,,,,,,
2016,24,Centre-Val de Loire,25.8,21.4,,,38.0,29.3,,30.6,52.4,,,,,,,
2016,44,Grand Est,29.1,24.5,,,35.3,27.0,,31.7,52.2,,,,,,,
2016,32,Hauts-de-France,31.6,25.7,,,46.1,37.8,,34.8,53.4,,,,,,,
2016,28,Normandie,31.2,26.5,,,38.5,31.4,,33.4,53.8,,,,,,,
2016,4,Réunion,12.0,8.4,,,40.7,30.0,,,,,,,,,,
2017,84,Auvergne et Rhône-Alpes,24.4,20.3,,,35.7,25.5,,29.5,48.5,,,,,,,
2017,24,Centre-Val de Loire,29.2,23.5,,,42.8,32.5,,30.4,51.7,,,,,,,
2017,11,Île-de-France,21.3,16.9,,,44.1,31.2,,23.9,47.3,,,,,,,
2017,75,Nouvelle Aquitaine,26.5,22.7,,,31.8,21.6,,29.7,50.8,,,,,,,
2017,93,Provence-Alpes-Côte d'Azur,19.3,15.5,,,28.1,18.0,,25.4,47.5,,,,,,,
2018,84,Auvergne et Rhône-Alpes,27.3,22.5,,,41.6,28.5,,29.2,50.3,,,,,,,
2018,32,Hauts-de-France,37.4,30.6,,,56.4,43.6,,33.3,54.0,,,,,,,
2018,11,Île-de-France,23.8,18.8,,,50.0,34.0,,24.9,48.9,,,,,,,
2018,28,Normandie,38.4,31.1,,,48.1,36.7,,32.0,54.1,,,,,,,
2018,76,Occitanie,23.4,19.3,,,38.5,22.0,,28.0,50.3,,,,,,,
2018,1,Guadeloupe,18.0,11.9,,,48.2,30.3,,12.4,20.5,,,,,,,
2018,3,Guyane,21.5,14.1,,,24.9,16.1,,12.7,18.9,,,,,,,
2019,75,Nouvelle Aquitaine,36.7,30.0,,,46.8,28.4,,32.4,53.2,,,,,,,
2019,76,Occitanie,29.9,23.6,,,46.1,24.2,,29.9,51.5,,,,,,,
2019,1,Guadeloupe,21.1,14.0,,,55.8,35.0,,14.8,22.9,,,,,,,
2020,84,Auvergne et Rhône-Alpes,39.6,32.2,,,53.8,34.0,,40.1,59.4,,,,,,,
2020,27,Bourgogne et Franche-Comté,44.0,35.4,,,58.3,40.2,,41.2,60.4,,,,,,,
2020,28,Normandie,50.8,41.4,,,60.6,42.0,,44.1,63.8,,,,,,,
2020,76,Occitanie,37.0,29.1,,,51.6,28.6,,37.7,59.8,,,,,,,
2020,52,Pays de la Loire,50.4,41.7,,,58.7,40.0,,39.6,63.3,,,,,,,
2020,93,Provence-Alpes-Côte d'Azur,33.4,26.4,,,50.1,24.4,,34.3,56.4,,,,,,,
2020,2,Martinique,14.2,9.1,,,48.1,26.2,,12.2,18.8,,,,,,,
2021,84,Auvergne et Rhône-Alpes,45.1,37.2,,,59.5,37.2,,35.2,55.9,,,,,,,
2021,27,Bourgogne et Franche-Comté,49.0,40.1,,,63.7,43.0,,36.9,57.2,,,,,,,
2021,24,Centre-Val de Loire,49.6,38.9,,,66.4,45.4,,37.8,60.3,,,,,,,
2021,44,Grand Est,50.6,41.6,,,63.2,40.5,,37.1,57.0,,,,,,,
2021,11,Île-de-France,37.9,30.2,,,65.1,42.7,,29.7,55.0,,,,,,,
2021,75,Nouvelle Aquitaine,49.5,40.9,,,59.5,34.2,,36.1,58.7,,,,,,,
2021,93,Provence-Alpes-Côte d'Azur,38.4,30.4,,,57.3,27.7,,29.2,52.4,,,,,,,
2022,53,Bretagne,60.3,53.3,17.1,11.5,74.8,54.2,,32.8,61.6,56.3,67.5,,,,,
2022,24,Centre-Val de Loire,51.0,44.4,13.8,9.1,71.2,48.6,,34.9,59.5,54.5,64.7,,,,,
2022,94,Corse,40.5,30.3,5.8,3.9,60.5,28.1,,26.8,48.7,41,56.7,,,,,
2022,32,Hauts-de-France,53.8,47.1,13.5,8.5,77.0,54.7,,36.7,59.0,55.5,63.4,,,,,
2022,76,Occitanie,45.2,40.1,12.5,8.3,62.5,36.2,,30.0,55.7,49,62.7,,,,,
2022,3,Guyane,24.9,17.9,4.7,1.7,40.7,29.4,,11.1,17.9,16.5,20.6,,,,,
2023,32,Hauts-de-France,60.7,50.1,28.4,16.4,80.4,58.6,,29.9,56.9,51.6,63.4,30.7,,,,
2023,11,Île-de-France,45.8,36.3,22.3,13.5,72.1,49.6,,22.4,52.7,45.1,61,31.3,,,,
2023,75,Nouvelle Aquitaine,59.4,50.0,27.8,17.1,69.4,42.9,,26.4,56.1,48.6,63.8,32.5,,,,
2023,93,Provence-Alpes-Côte d'Azur,46.6,37.0,18.6,11.3,68.3,36.7,,21.3,49.7,40.9,58.2,23,,,,
2023,4,Réunion,24.4,16.4,6.9,3.1,73.3,56.2,,,,,,1.9,,,,
2024,53,Bretagne,72.7,61.5,50.0,34.5,79.4,62.0,43.8,28.0,59.5,52.8,66.3,,,,,
2024,11,Île-de-France,48.8,39.0,31.5,20.3,73.0,55.0,32.9,22.9,52.9,45.7,60.3,,,,,
2024,28,Normandie,70.0,58.3,48.3,31.9,78.7,56.9,39.0,29.5,57.7,51.9,63.8,,,,,
2024,76,Occitanie,57.4,47.5,36.0,24.2,68.5,47.0,24.6,24.1,52.9,44.9,60.6,,,,,
2024,52,Pays de la Loire,70.6,60.6,49.1,34.8,74.6,56.1,36.7,27.4,58.1,51,65.1,,,,,
